requirement_id,lane,capability_area,canonical_source,canonical_locator,canonical_requirement,final_production_owner_path,final_production_owner_symbol,final_actual_caller_path,final_actual_caller_symbol,final_runtime_binding,final_persistence_or_effect,final_api_or_frontend_destination,final_test_path,final_test_target_or_assertion,pre_remediation_disposition,pre_remediation_finding_ids,remediation_commit,final_disposition,non_blocking_debt,notes
A-FUNC-001,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-001@41-51,FN-001 첫 실행 Wizard.,frontend/src/app/startup_flow.tsx,StartupFlow,frontend/src/app/App.tsx,AuthenticatedWorkspace,frontend/src/app/App.tsx::AuthenticatedWorkspace directly consumes frontend/src/app/startup_flow.tsx::StartupFlow on the production path,approved Claim/ExecutionAttempt authority gates the bounded connector effect; delivery certainty is durably settled before verification/recovery,installed browser UI through frontend/src/app/startup_flow.tsx,frontend/tests/app/startup_flow.test.tsx,"frontend/tests/app/startup_flow.test.tsx::test_title:""blocks every protected query when the public contract version is incompatible"" [SYSTEM] — asserts `blocks every protected query when the public contract version is incompatible` against current owner `StartupFlow`",FINDING,WF1-A-FIND-006;WF1-A-FIND-009,27872661;8367cb71;f4d13af0;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current Canonical exact mapping against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=SYSTEM; previous artifact disposition/template was not reused.
A-FUNC-002,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-002@52-64,FN-002 Google 계정 연결.,frontend/src/features/settings/api/google_connection_operations.ts,startGoogleConnection,frontend/src/features/settings/settings_drawer.tsx,SettingsDrawer,frontend/src/features/settings/settings_drawer.tsx::SettingsDrawer directly consumes frontend/src/features/settings/api/google_connection_operations.ts::startGoogleConnection on the production path,N/A — frontend is a read/control projection; durable truth remains behind the versioned Product API,installed browser UI through frontend/src/features/settings/api/google_connection_operations.ts,frontend/tests/features/settings/settings_drawer.test.tsx,"frontend/tests/features/settings/settings_drawer.test.tsx::test_title:""SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory"" [SYSTEM] — asserts `SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory` against current owner `startGoogleConnection`",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current Canonical exact mapping against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=SYSTEM; previous artifact disposition/template was not reused.
A-FUNC-003,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-003@65-74,FN-003 Google 계정 연결 해제.,frontend/src/features/settings/api/google_connection_operations.ts,disconnectGoogle,frontend/src/features/settings/settings_drawer.tsx,SettingsDrawer,frontend/src/features/settings/settings_drawer.tsx::SettingsDrawer directly consumes frontend/src/features/settings/api/google_connection_operations.ts::disconnectGoogle on the production path,N/A — frontend is a read/control projection; durable truth remains behind the versioned Product API,installed browser UI through frontend/src/features/settings/api/google_connection_operations.ts,frontend/tests/features/settings/settings_drawer.test.tsx,"frontend/tests/features/settings/settings_drawer.test.tsx::test_title:""SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory"" [SYSTEM] — asserts `SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory` against current owner `disconnectGoogle`",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current Canonical exact mapping against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=SYSTEM; previous artifact disposition/template was not reused.
A-FUNC-004,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-004@75-82,FN-004 LLM Runtime 진단.,frontend/src/features/diagnostics/api/get_runtime.ts,getRuntime,frontend/src/features/diagnostics/diagnostics_panel.tsx,DiagnosticsPanel,frontend/src/features/diagnostics/diagnostics_panel.tsx::DiagnosticsPanel directly consumes frontend/src/features/diagnostics/api/get_runtime.ts::getRuntime on the production path,N/A — frontend is a read/control projection; durable truth remains behind the versioned Product API,installed browser UI through frontend/src/features/diagnostics/api/get_runtime.ts,frontend/tests/features/diagnostics/diagnostics_panel.test.tsx,"frontend/tests/features/diagnostics/diagnostics_panel.test.tsx::test_title:""DiagnosticsPanel exposes only opaque bundle metadata"" [SYSTEM] — asserts `DiagnosticsPanel exposes only opaque bundle metadata` against current owner `getRuntime`",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current Canonical exact mapping against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=SYSTEM; previous artifact disposition/template was not reused.
A-FUNC-005,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-005@83-91,FN-005 LLM 모드 선택.,frontend/src/features/settings/api/update_runtime_mode.ts,updateRuntimeMode,frontend/src/features/settings/settings_drawer.tsx,SettingsDrawer,frontend/src/features/settings/settings_drawer.tsx::SettingsDrawer directly consumes frontend/src/features/settings/api/update_runtime_mode.ts::updateRuntimeMode on the production path,N/A — frontend is a read/control projection; durable truth remains behind the versioned Product API,installed browser UI through frontend/src/features/settings/api/update_runtime_mode.ts,frontend/tests/features/settings/settings_drawer.test.tsx,"frontend/tests/features/settings/settings_drawer.test.tsx::test_title:""SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory"" [SYSTEM] — asserts `SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory` against current owner `updateRuntimeMode`",FINDING,WF1-A-FIND-001,27872661;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current Canonical exact mapping against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=SYSTEM; previous artifact disposition/template was not reused.
A-FUNC-006,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-006@92-101,FN-006 배포 프로필 선택.,frontend/src/features/settings/settings_drawer.tsx,SettingsDrawer,frontend/src/app/App.tsx,AuthenticatedWorkspace,frontend/src/app/App.tsx::AuthenticatedWorkspace directly consumes frontend/src/features/settings/settings_drawer.tsx::SettingsDrawer on the production path,N/A — frontend is a read/control projection; durable truth remains behind the versioned Product API,installed browser UI through frontend/src/features/settings/settings_drawer.tsx,frontend/tests/features/settings/settings_drawer.test.tsx,"frontend/tests/features/settings/settings_drawer.test.tsx::test_title:""SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory"" [SYSTEM] — asserts `SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory` against current owner `SettingsDrawer`",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current semantic capability owner census against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=SYSTEM; previous artifact disposition/template was not reused.
A-FUNC-007,A,Security and local trust,docs/canonical/01-a-functional-definition.md,FN-007@102-108,FN-007 OAuth 배포 환경 관리.,frontend/src/features/settings/settings_drawer.tsx,SettingsDrawer,frontend/src/app/App.tsx,AuthenticatedWorkspace,frontend/src/app/App.tsx::AuthenticatedWorkspace directly consumes frontend/src/features/settings/settings_drawer.tsx::SettingsDrawer on the production path,N/A — frontend is a read/control projection; durable truth remains behind the versioned Product API,installed browser UI through frontend/src/features/settings/settings_drawer.tsx,frontend/tests/features/settings/settings_drawer.test.tsx,"frontend/tests/features/settings/settings_drawer.test.tsx::test_title:""SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory"" [SYSTEM] — asserts `SettingsDrawer loads typed non-secret settings, connection, credentials, and backup inventory` against current owner `SettingsDrawer`",UNCHECKED,N/A — no substantive finding,f4d13af0;ef5bd38a;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current semantic capability owner census against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=SYSTEM; previous artifact disposition/template was not reused.
A-FUNC-008,A,Installed lifecycle,docs/canonical/01-a-functional-definition.md,FN-008@109-121,FN-008 Local Agent Service 시작.,launcher/entrypoint.py,main,src/google_work_agent/api/routes/runs.py,_resolve_start_run_selections,src/google_work_agent/api/routes/runs.py::_resolve_start_run_selections directly consumes launcher/entrypoint.py::main on the production path,N/A — deterministic in-process contract/policy/orchestration requirement; no independent durable or external effect is specified,N/A — internal semantic/safety contract has no independent API or frontend destination,tests/unit/launcher/test_signed_runtime_config.py,tests/unit/launcher/test_signed_runtime_config.py::test_installed_service_entrypoint__consumes_launcher_handoff__and_runs_uvicorn [UNIT] — asserts `result == 0` against current owner `main`,UNCHECKED,N/A — no substantive finding,4e42dbdc;ef5bd38a;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current semantic capability owner census against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=UNIT; previous artifact disposition/template was not reused.
A-FUNC-009,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-009@122-133,FN-009 Frontend·API 세션과 버전 확인.,frontend/src/app/session_bootstrap.ts,bootstrapLocalSession,frontend/src/app/startup_flow.tsx,StartupFlow,frontend/src/app/startup_flow.tsx::StartupFlow directly consumes frontend/src/app/session_bootstrap.ts::bootstrapLocalSession on the production path,N/A — frontend is a read/control projection; durable truth remains behind the versioned Product API,installed browser UI through frontend/src/app/session_bootstrap.ts,frontend/tests/app/session_bootstrap.test.ts,"frontend/tests/app/session_bootstrap.test.ts::test_title:""reads the one-time secret only from the URL fragment"" [SYSTEM] — asserts `reads the one-time secret only from the URL fragment` against current owner `bootstrapLocalSession`",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current semantic capability owner census against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=SYSTEM; previous artifact disposition/template was not reused.
A-FUNC-010,A,Frontend product projection,docs/canonical/01-a-functional-definition.md,FN-010@134-146,FN-010 자연어 요청 입력.,frontend/src/features/run/request_composer.tsx,RequestComposer,frontend/src/app/App.tsx,AuthenticatedWorkspace,frontend/src/app/App.tsx::AuthenticatedWorkspace directly consumes frontend/src/features/run/request_composer.tsx::RequestComposer on the production path,N/A — frontend is a read/control projection; durable truth remains behind the versioned Product API,installed browser UI through frontend/src/features/run/request_composer.tsx,frontend/tests/features/run/request_composer.test.tsx,"frontend/tests/features/run/request_composer.test.tsx::test_title:""submitNewRun creates a conversation and sends only normalized opaque selection handles"" [SYSTEM] — asserts `submitNewRun creates a conversation and sends only normalized opaque selection handles` against current owner `RequestComposer`",UNCHECKED,N/A — no substantive finding,27872661;8367cb71;f4d13af0;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,N/A — current exact owner/caller/runtime/proof chain is closed,Rebuilt from current semantic capability owner census against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; proof_level=SYSTEM; previous artifact disposition/template was not reused.
