lineage_id,lineage_kind,scenario_or_handoff,canonical_requirement_ids,entrypoint,producer_path,producer_symbol,output_contract,durable_state_or_revision,consumer_path,consumer_symbol,input_contract,runtime_route,persistence_or_external_effect,verification_or_recovery_path,terminal_state,api_projection,frontend_projection,test_or_runtime_proof,semantic_authority_count,competing_authority,pre_remediation_wave2_status,pre_remediation_finding_ids,remediation_commit,final_status,notes
X1-PC-FINAL-001,HANDOFF,POST /runs must commit a durable START handoff and reach its registered workflow owner.,H-API-008,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/api/routes/runs.py,start_run,"StartRunResultV1(applied, enqueued, handoff_id, run_id, version) after durable START handoff commit",command receipt and Domain facts; route owns no DB/adapter authority,src/google_work_agent/application/use_cases/run/schedule_run_execution.py,ScheduleRunExecutionHandler,ScheduleRunExecutionCommand(handoff_id=result.handoff_id) only when result.applied and result.enqueued,runs.start_run -> start_run_handler -> committed START handoff -> schedule_run_execution -> ScheduleRunExecutionHandler -> WorkflowExecutionPort -> BackgroundRunExecutorAdapter -> compiled graph,command receipt and Domain facts; route owns no DB/adapter authority,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,snapshot/SSE/error/health contracts consumed by frontend,"tests/architecture/test_run_conversation_event_api_authority.py::test_route_endpoints__invoke_their__exact_canonical_handlers [STATIC] — asserts `_invokes_handler(path, endpoint, handler)`",1,NO,PASS,N/A — no substantive finding,27872661;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
X1-PC-FINAL-002,HANDOFF,Handoff dispatch must preserve run-sequence head ordering and persisted execution-admission currentness.,C-PER-REQ-040,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/use_cases/run/schedule_run_execution.py,ScheduleRunExecutionHandler,typed Persistence and UoW output with identity/revision/currentness checks,"Domain facts, command receipts, workflow handoffs, checkpoint bindings, forward migrations and verified backups",src/google_work_agent/api/composition.py,build_production_runtime,current typed input accepted only through the production Persistence and UoW boundary,Application Port -> one short SQLite UoW -> repositories -> commit -> post-commit handoff/trace,"Domain facts, command receipts, workflow handoffs, checkpoint bindings, forward migrations and verified backups",verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,versioned Application projections; N/A where persistence is internal,tests/unit/application/use_cases/run/test_schedule_run_execution.py::test_later_normal_handoff__stays_queued_while__dispatch_head_is_active [UNIT] — asserts `not result.accepted`,1,NO,PASS,N/A — no substantive finding,7654b080;4684aa06;4e42dbdc;4aed0a85;32295d97;09bf4501;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
X1-PC-FINAL-003,HANDOFF,Retrieval execute_read must consume a registry-validated READ binding through ConnectorReadPort.,E-AGT-013,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/agents/retrieval/execute_read.py,execute_read,typed Retrieval output with identity/revision/currentness checks,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",src/google_work_agent/adapters/langgraph/subgraphs/retrieval/graph.py,RetrievalSubgraph,current typed input accepted only through the production Retrieval boundary,registry-validated READ binding -> ConnectorReadPort -> bounded evidence store -> typed RetrievalResultV1,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,context preview and evidence-backed answer/plan,tests/unit/application/agents/retrieval/test_plan_query.py::test_plan_query_is__the_only_product_prompt__owner_in_retrieval_core [UNIT] — asserts `'StructuredInferencePort' in plan_source`,1,NO,PASS,N/A — no substantive finding,f4d13af0;4aed0a85;32295d97;09bf4501;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
X1-PC-FINAL-004,HANDOFF,Retrieval must produce one current typed RetrievalResult revision for downstream analysis and planning.,E-AGT-019,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/agents/retrieval/contracts/retrieval_result.py,RetrievalResultV1,typed Retrieval output with identity/revision/currentness checks,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",src/google_work_agent/adapters/langgraph/subgraphs/retrieval/graph.py,RetrievalSubgraph,current typed input accepted only through the production Retrieval boundary,registry-validated READ binding -> ConnectorReadPort -> bounded evidence store -> typed RetrievalResultV1,"run-scoped evidence handles, source failure facts, revision/currentness and cache-loss restart handoff",verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,context preview and evidence-backed answer/plan,tests/unit/application/agents/work_analysis/test_assess_information_gaps.py::test_assess_information__gaps_rejects__unbounded_evidence [UNIT] — asserts `pytest.raises(ValueError)`,1,NO,PASS,N/A — no substantive finding,f4d13af0;4aed0a85;32295d97;09bf4501;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
X1-PC-FINAL-005,HANDOFF,Agent invocation must return only the typed owner result and declared workflow signal consumed by Supervisor.,E-AGT-048,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/adapters/langgraph/main/supervisor.py,route_supervisor,typed Main LangGraph runtime output with identity/revision/currentness checks,single GraphState v2 checkpoint plus Domain-backed run/action/attempt/verification facts,src/google_work_agent/adapters/langgraph/main/workflow.py,_WorkflowRuntimeComposition,current typed input accepted only through the production Main LangGraph runtime boundary,WorkflowExecutionPort -> one compiled Main graph/profile -> supervisor -> owner-local subgraphs -> checkpoint continuation,single GraphState v2 checkpoint plus Domain-backed run/action/attempt/verification facts,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,terminal commit/outcome projector -> API snapshot/SSE/frontend,tests/unit/application/workflows/test_supervisor.py::test_review_retrieve_more__with_frozen_route__becomes_retrieval_required [UNIT] — asserts `decision['target'] == SupervisorTarget.CONTEXT_RETRIEVAL.value`,1,NO,PASS,N/A — no substantive finding,7654b080;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
X1-PC-FINAL-006,HANDOFF,Confirmation must persist and validate an exact semantic-owner resume target before same-run continuation.,B-DOM-REQ-077,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/use_cases/run/resume_confirmation.py,ResumeConfirmationHandler,typed Main LangGraph runtime output with identity/revision/currentness checks,single GraphState v2 checkpoint plus Domain-backed run/action/attempt/verification facts,src/google_work_agent/adapters/langgraph/main/workflow.py,_WorkflowRuntimeComposition,current typed input accepted only through the production Main LangGraph runtime boundary,WorkflowExecutionPort -> one compiled Main graph/profile -> supervisor -> owner-local subgraphs -> checkpoint continuation,single GraphState v2 checkpoint plus Domain-backed run/action/attempt/verification facts,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,terminal commit/outcome projector -> API snapshot/SSE/frontend,tests/unit/application/use_cases/run/test_confirm_run.py::test_work_analysis__override_confirmation_creates__bound_policy_receipt [UNIT] — asserts `receipt is not None`,1,NO,PASS,N/A — no substantive finding,7654b080;8367cb71;f4d13af0;4aed0a85;32295d97;09bf4501;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
X1-PC-FINAL-007,HANDOFF,Connector Write must remain impossible until BeginExecutionAttempt applied evidence is durable.,D-APP-101,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/adapters/langgraph/write_execution_driver.py,WriteExecutionStructuralDriver,typed Execution attempt and external Write output with identity/revision/currentness checks,ExecutionAttempt begin/receipt/outcome and delivery certainty; external Write occurs outside SQLite transaction,src/google_work_agent/adapters/langgraph/write_execution_driver.py,WriteExecutionStructuralDriver,current typed input accepted only through the production Execution attempt and external Write boundary,Claim -> BeginExecutionAttempt(applied=true commit) -> currentness reread -> ConnectorWritePort,ExecutionAttempt begin/receipt/outcome and delivery certainty; external Write occurs outside SQLite transaction,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,execution summary -> verification/recovery -> snapshot/SSE,tests/unit/adapters/langgraph/test_write_preflight_reauth.py::test_preflight_credential__loss_requires__reauth_before_claim [UNIT] — asserts `result.disposition is WriteExecutionDisposition.REAUTH_REQUIRED`,1,NO,PASS,N/A — no substantive finding,4684aa06;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
X1-PC-FINAL-008,HANDOFF,Dispatch must reread current Attempt/Action/Approval/Plan/Run and begin receipt immediately before external I/O.,D-APP-103,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/use_cases/execution_attempt/dispatch_connector_write.py,DispatchConnectorWriteHandler,typed Execution attempt and external Write output with identity/revision/currentness checks,ExecutionAttempt begin/receipt/outcome and delivery certainty; external Write occurs outside SQLite transaction,src/google_work_agent/adapters/langgraph/write_execution_driver.py,WriteExecutionStructuralDriver,current typed input accepted only through the production Execution attempt and external Write boundary,Claim -> BeginExecutionAttempt(applied=true commit) -> currentness reread -> ConnectorWritePort,ExecutionAttempt begin/receipt/outcome and delivery certainty; external Write occurs outside SQLite transaction,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,execution summary -> verification/recovery -> snapshot/SSE,tests/unit/application/use_cases/execution_attempt/test_dispatch_connector_write.py::test_claim_attempt__mismatch_is_rejected__before_connector_io [UNIT] — asserts `port.calls == 0`,1,NO,PASS,N/A — no substantive finding,4684aa06;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
X1-PC-FINAL-009,HANDOFF,UNKNOWN_RESULT must route through lookup/recovery without blind resend.,D-APP-105,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/adapters/langgraph/write_recovery.py,WriteRecoveryCoordinator,typed Recovery and corrective planning output with identity/revision/currentness checks,"Recovery proof, resolution, corrective Plan lineage, workflow handoff and checkpoint target",src/google_work_agent/api/routes/runs.py,resolve_recovery,current typed input accepted only through the production Recovery and corrective planning boundary,reason-specific durable Recovery -> safe option guard -> verification/terminal/corrective planning continuation,"Recovery proof, resolution, corrective Plan lineage, workflow handoff and checkpoint target",verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,RecoveryCard options and authoritative Run refresh,tests/unit/adapters/langgraph/test_write_execution_driver.py::test_uncertain_delivery__marks_unknown__without_blind_resend [UNIT] — asserts `result.disposition is WriteExecutionDisposition.UNKNOWN_RESULT`,1,NO,PASS,N/A — no substantive finding,4684aa06;4e42dbdc;ba6ce026;4aed0a85;32295d97;09bf4501;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
X1-PC-FINAL-010,HANDOFF,Verification read must occur outside a DB transaction and its result be stored in a later short UoW.,C-PER-REQ-024,frontend/src/app/App.tsx -> versioned local API command/query,src/google_work_agent/application/use_cases/verification/verify_effect.py,VerifyEffectHandler,typed Verification output with identity/revision/currentness checks,Verification fact binds Action/Attempt/Approval identity and observed fields,src/google_work_agent/adapters/langgraph/write_execution_driver.py,WriteExecutionStructuralDriver,current typed input accepted only through the production Verification boundary,executed child fact -> external verification read -> normalized VERIFIED/MISMATCH -> short storage UoW,Verification fact binds Action/Attempt/Approval identity and observed fields,verification/recovery/currentness guard is explicit where the scenario can mutate or fail; otherwise N/A — read/projection-only lineage,Domain terminal/continuation fact is committed before outcome projection; non-terminal handoffs preserve exact next target,versioned snapshot/SSE/error/readiness projection; N/A only for internal evaluation/repository methodology,verification detail and recovery options in snapshot/SSE/frontend,tests/unit/application/use_cases/execution_attempt/test_execution_identity_safety.py::test_stale_attempt__verification_is_rejected__before_connector_io [UNIT] — asserts `connector.calls == 0`,1,NO,PASS,N/A — no substantive finding,4684aa06;27872661;4aed0a85;32295d97;09bf4501;efb10b374425c4ff1d0af3b7826dad5800e9192c,PASS,Rebuilt against PRODUCT_SOURCE_SHA efb10b374425c4ff1d0af3b7826dad5800e9192c; taxonomy=HANDOFF; previous generic lineage template was not reused.
