fixture_id,trial,generation_mode,provider_dispatches,repair_used,fallback_used,input_tokens,output_tokens,provider_latency_ms,response_stage_latency_ms,actual_generation_semantics,final_projection_semantics,expression,final_projection_mode
TR-01,1,LLM,1,0,0,1183,36,16168,17796,PASS,PASS,PASS,ACTUAL_LLM
TR-01,2,LLM,1,0,0,1183,36,1337,1453,PASS,PASS,PASS,ACTUAL_LLM
TR-02,1,LLM,1,0,0,1183,61,2423,2561,PASS,PASS,PASS,ACTUAL_LLM
TR-02,2,LLM,1,0,0,1183,61,2125,2250,PASS,PASS,PASS,ACTUAL_LLM
TR-03,1,LLM,1,0,0,1143,26,1259,1406,FAIL_REQUIRED_LIMITATION_OMITTED,PASS,PASS,DETERMINISTIC_REQUIRED_LIMITATION_GUARD
TR-03,2,LLM,1,0,0,1143,26,962,1110,FAIL_REQUIRED_LIMITATION_OMITTED,PASS,PASS,DETERMINISTIC_REQUIRED_LIMITATION_GUARD
TR-04,1,LLM,1,0,0,1216,33,1573,1718,PASS,PASS,PASS,ACTUAL_LLM
TR-04,2,LLM,1,0,0,1216,33,1188,1296,PASS,PASS,PASS,ACTUAL_LLM
TR-05,1,LLM,1,0,0,1264,35,1690,1860,PASS,PASS,PASS,ACTUAL_LLM
TR-05,2,LLM,1,0,0,1264,35,1241,1375,PASS,PASS,PASS,ACTUAL_LLM
TR-06,1,LLM,1,0,0,1423,71,2919,3061,PASS,PASS,WARN_UNNECESSARY_GENERIC_RETRY_ADVICE,ACTUAL_LLM
TR-06,2,LLM,1,0,0,1423,71,2431,2656,PASS,PASS,WARN_UNNECESSARY_GENERIC_RETRY_ADVICE,ACTUAL_LLM
TR-07,1,LLM,1,0,0,1129,50,2110,2250,PASS,PASS,PASS,ACTUAL_LLM
TR-07,2,LLM,1,0,0,1129,50,1766,1889,PASS,PASS,PASS,ACTUAL_LLM
TR-08,1,LLM,1,0,0,1367,62,2585,2796,PASS,PASS,PASS,ACTUAL_LLM
TR-08,2,LLM,1,0,0,1367,62,2154,2296,PASS,PASS,PASS,ACTUAL_LLM
